room_id,building,floor,room_number,room_name,capacity,capacity_avg,room_type,location_score,accessibility_score,priority,equipment,source_course_count
AI관-100,AI관,1,100,AI관-100,90,68.0,대형강의실,5,5,5,"projector,computer,whiteboard",3
AI관-206,AI관,2,206,AI관-206,20,20.0,소형강의실,5,5,1,"projector,computer,whiteboard",2
AI관-208,AI관,2,208,AI관-208,46,39.0,일반강의실,5,5,3,"projector,computer,whiteboard",6
AI관-209,AI관,2,209,AI관-209,50,47.7,일반강의실,5,5,3,"projector,computer,whiteboard",13
AI관-210,AI관,2,210,AI관-210,34,32.4,일반강의실,5,5,2,"projector,computer,whiteboard",9
AI관-301,AI관,3,301,AI관-301,82,61.7,대형강의실,5,4,5,"projector,computer,whiteboard",15
AI관-302,AI관,3,302,AI관-302,40,38.2,일반강의실,5,4,2,"projector,computer,whiteboard",11
AI관-303,AI관,3,303,AI관-303,155,55.2,초대형강의실,5,4,5,"projector,computer,whiteboard",10
AI관-305,AI관,3,305,AI관-305,38,38.0,일반강의실,5,4,2,"projector,computer,whiteboard",7
AI관-306,AI관,3,306,AI관-306,42,33.6,일반강의실,5,4,3,"projector,computer,whiteboard",5
AI관-307,AI관,3,307,AI관-307,60,60.0,일반강의실,5,4,3,"projector,computer,whiteboard",11
AI관-318,AI관,3,318,AI관-318,20,20.0,소형강의실,5,4,1,"projector,computer,whiteboard",1
AI관-321,AI관,3,321,AI관-321,20,20.0,소형강의실,5,4,1,"projector,computer,whiteboard",1
AI관-328,AI관,3,328,AI관-328,20,20.0,소형강의실,5,4,1,"projector,computer,whiteboard",1
AI관-407,AI관,4,407,AI관-407,20,20.0,소형강의실,5,4,1,"projector,computer,whiteboard",1
AI관-408,AI관,4,408,AI관-408,60,57.1,일반강의실,5,4,3,"projector,computer,whiteboard",14
AI관-409,AI관,4,409,AI관-409,54,47.1,일반강의실,5,4,3,"projector,computer,whiteboard",13
AI관-410,AI관,4,410,AI관-410,61,53.5,대형강의실,5,4,4,"projector,computer,whiteboard",6
AI관-411,AI관,4,411,AI관-411,65,46.8,대형강의실,5,4,4,"projector,computer,whiteboard",13
AI관-412,AI관,4,412,AI관-412,65,53.1,대형강의실,5,4,4,"projector,computer,whiteboard",15
AI관-413,AI관,4,413,AI관-413,65,56.7,대형강의실,5,4,4,"projector,computer,whiteboard",15
AI관-414,AI관,4,414,AI관-414,65,55.4,대형강의실,5,4,4,"projector,computer,whiteboard",18
AI관-415,AI관,4,415,AI관-415,60,56.7,일반강의실,5,4,3,"projector,computer,whiteboard",12
AI관-424,AI관,4,424,AI관-424,25,25.0,소형강의실,5,4,2,"projector,computer,whiteboard",1
AI관-431,AI관,4,431,AI관-431,25,25.0,소형강의실,5,4,2,"projector,computer,whiteboard",1
AI관-503,AI관,5,503,AI관-503,57,51.5,일반강의실,5,3,3,"projector,computer,whiteboard",8
AI관-504,AI관,5,504,AI관-504,60,54.6,일반강의실,5,3,3,"projector,computer,whiteboard",7
AI관-505,AI관,5,505,AI관-505,62,54.6,대형강의실,5,3,4,"projector,computer,whiteboard",7
AI관-507,AI관,5,507,AI관-507,45,38.5,일반강의실,5,3,3,"projector,computer,whiteboard",11
AI관-508,AI관,5,508,AI관-508,60,57.1,일반강의실,5,3,3,"projector,computer,whiteboard",14
AI관-509,AI관,5,509,AI관-509,60,60.0,일반강의실,5,3,3,"projector,computer,whiteboard",10
AI관-510,AI관,5,510,AI관-510,60,55.6,일반강의실,5,3,3,"projector,computer,whiteboard",9
AI관-511,AI관,5,511,AI관-511,71,59.6,대형강의실,5,3,4,"projector,computer,whiteboard",15
AI관-714,AI관,7,714,AI관-714,21,21.0,소형강의실,5,2,2,"projector,computer,whiteboard",1
AI관-715,AI관,7,715,AI관-715,40,37.5,일반강의실,5,2,2,"projector,computer,whiteboard",4
AI관-716,AI관,7,716,AI관-716,40,30.0,일반강의실,5,2,2,"projector,computer,whiteboard",5
AI관-717,AI관,7,717,AI관-717,20,18.3,소형강의실,5,2,1,"projector,computer,whiteboard",3
AI관-719,AI관,7,719,AI관-719,20,20.0,소형강의실,5,2,1,"projector,computer,whiteboard",1
AI관-737,AI관,7,737,AI관-737,25,25.0,소형강의실,5,2,2,"projector,computer,whiteboard",1
AI관-741,AI관,7,741,AI관-741,20,20.0,소형강의실,5,2,1,"projector,computer,whiteboard",1
